"PO_ID","BP_COMPANY_NAME","RESP_BP_ID","NET_AMOUNT","CHANGED_AT","GROSS_AMOUNT","LIFECYCLE_STATUS","APPROVAL_STATUS","CONFIRM_STATUS","ORDERING_STATUS","INVOICING_STATUS","TEXT_NOTE_PO","TAX_AMOUNT","CREATED_AT","CURRENCY_CODE"
"300000000","South American IT Company","100000087","3289","01/01/2018, 00:00:00","3913.91","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000000 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 10</td></tr></table></body></html>","624.91","12/03/2018, 00:00:00","EUR"
"300000001","Getränkegroßhandel Janssen","100000069","36584","01/02/2018, 00:00:00","43534.96","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000001 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 10</td></tr></table></body></html>","6950.96","10/21/2020, 00:00:00","EUR"
"300000002","Danish Fish Trading Company","100000089","15246","01/03/2018, 00:00:00","18142.74","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000002 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 8</td></tr></table></body></html>","2896.74","05/01/2023, 00:00:00","EUR"
"300000003","New Line Design","100000058","5253","01/04/2018, 00:00:00","6251.07","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000003 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 5</td></tr></table></body></html>","998.07","09/09/2024, 00:00:00","EUR"
"300000004","Talpa","100000049","3754.57","05/15/2023, 00:00:00","4467.94","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000004 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 5</td></tr></table></body></html>","713.37","05/15/2023, 00:00:00","EUR"
"300000005","Becker Berlin","100000047","5346.96","01/06/2018, 00:00:00","6362.89","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000005 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","1015.93","12/11/2027, 00:00:00","EUR"
"300000006","Mexican Oil Trading Company","100000062","3654","05/15/2023, 00:00:00","4348.26","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000006 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","694.26","05/15/2023, 00:00:00","EUR"
"300000007","Bionic Research Lab","100000084","1560.92","01/08/2018, 00:00:00","1857.5","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000007 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 8</td></tr></table></body></html>","296.58","02/13/2026, 00:00:00","EUR"
"300000008","Robert Brown Entertainment","100000061","2346","01/09/2018, 00:00:00","2791.74","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000008 --- HT-1102 is a phantastic product! ... with "Umlauts" ä Ä ü Ü ö Ö ß","445.74","11/20/2026, 00:00:00","EUR"
"300000009","Pear Computing Services","100000056","1199.8","01/10/2018, 00:00:00","1427.76","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000009 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","227.96","09/04/2026, 00:00:00","EUR"
